pawndiff knightdiff bishopdiff rookdiff queendiff result white black whiteelo blackelo
1 0 -1 -1 -1 0-1 qossaialjaber1984 peterni 1358 1413
0 0 1 0 1 1-0 peterni qossaialjaber1984 1407 1364
-2 0 -1 0 0 0-1 PonyBoyParent peterni 1472 1398
0 0 0 1 0 1-0 peterni fahd-sbahi 1391 1348
0 0 0 1 0 1-0 lamatrousse peterni 1366 1398
0 1 -1 1 0 1-0 Eljugadordorado peterni 1400 1405
1 0 0 0 0 1-0 peterni chesso18 1397 1429
1 0 0 1 0 1-0 roland_u peterni 1391 1404
0 1 0 0 1 1-0 peterni Taaleb 1397 1398
-1 1 0 0 0 1-0 kneely3399 peterni 1375 1404
2 0 0 0 0 1-0 peterni JITHIN2110 1397 1413
0 -1 0 0 -1 0-1 peterni aerosolpaint 1403 1421
1 0 0 0 0 1-0 glauch peterni 1352 1412
-5 0 0 -1 -1 0-1 nachyn771 peterni 1383 1405
0 0 1 2 1 1-0 peterni nachyn771 1398 1412
-1 0 1 0 0 1-0 peterni edugrin 1390 1397
0 0 0 0 0 0-1 dunkler_ritter peterni 1457 1381
0 0 0 0 0 1-0 centek peterni 1436 1387
0 -1 -2 0 0 0-1 fur-q peterni 1317 1381
-1 1 0 0 -1 0-1 Gooneonone peterni 1436 1373
1 0 1 0 0 1-0 peterni not_ur_cup_of_tea 1365 1373
0 -1 0 0 0 0-1 peterni ONYX36 1371 1441
0 0 0 0 0 0-1 csar67 peterni 1276 1365
0 -1 1 0 0 0-1 peterni housseinz 1372 1368
0 0 -1 0 0 1-0 dinar75 peterni 1314 1381
-1 0 0 -1 0 0-1 Lapsang7777 peterni 1386 1381
0 0 0 0 0 1/2-1/2 peterni klatu_verata 1381 1378
0 0 0 2 1 1-0 peterni Remboard 1377 1190
1 0 1 2 0 1-0 peterni Giuseppe1969 1373 1239
-3 0 0 -1 -1 0-1 Adam-lv peterni 1254 1368
-1 0 1 0 0 1-0 Laser12 peterni 1316 1376
0 0 -1 -1 0 1/2-1/2 peterni Beastnv2 1377 1337
4 0 -1 0 0 1-0 metr_kz peterni 1376 1384
-1 0 0 0 0 0-1 peterni Tucutac54 1392 1348
2 0 -1 1 0 1-0 kakuki peterni 1402 1399
0 2 -2 1 0 1-0 stuartneil23 peterni 1450 1405
0 0 0 0 0 1-0 dragondemadera peterni 1429 1411
2 0 0 0 2 1-0 peterni tramputin 1404 1413
-2 0 1 0 1 1-0 peterni Ruslan1us 1397 1371
0 0 0 0 0 1-0 carrealva peterni 1471 1403
2 -1 0 1 0 1-0 peterni sudharsanR 1394 1458
1 -1 1 0 0 1-0 peterni rickraud 1385 1449
0 -1 -1 0 0 0-1 cardinae peterni 1046 1383
0 -1 0 0 0 0-1 peterni Reixas 1390 1423
0 0 1 0 0 1/2-1/2 NH_3 peterni 1489 1388
0 0 1 0 0 1-0 peterni Matteo0508 1381 1342
0 -1 0 0 -1 0-1 IQG3 peterni 1301 1375
0 -1 0 0 0 0-1 peterni Ladle 1382 1402
0 0 -1 1 0 1-0 itzram1 peterni 1394 1389
-1 0 1 0 0 1-0 srwhite88 peterni 1399 1396
-1 0 -1 0 0 0-1 peterni IbrahimAndretti 1403 1384
0 0 0 0 2 1-0 Ahmed-Amine-Soltani peterni 1438 1409
1 0 0 -1 0 0-1 peterni coolmatt101 1412 1643
3 0 0 2 1 1-0 peterni Fidelio35 1410 1151
2 0 1 -1 0 1-0 Jovendemente peterni 1437 1416
0 0 0 0 1 1-0 basel1989 peterni 1431 1423
-1 0 0 0 0 1-0 peterni URIY1970 1414 1498
0 0 1 0 0 1-0 peterni JulioElias 1406 1429
-2 0 -1 1 0 1-0 peterni voidabyss 1397 1497
-1 1 0 0 0 1-0 hoseinb peterni 1453 1403
1 0 -1 0 1 1-0 peterni Sirua 1190 1328
0 -1 1 0 0 0-1 Frank-Markus peterni 1411 1395
0 1 -1 -1 0 0-1 Caballo_marihuanero peterni 1415 1387
3 -1 -1 0 0 0-1 curshwin peterni 1404 1379
1 0 1 1 0 1-0 peterni Boggwin 1373 1338
0 0 0 -1 0 0-1 OliveiraOdair peterni 1369 1365
0 -1 0 0 0 0-1 peterni baasoti 1368 1636
3 0 -1 0 1 1-0 MacoPaco peterni 1349 1375
0 1 -1 0 0 0-1 peterni Muh2100 1382 1389
0 0 1 -1 1 1-0 peterni mido245 1374 1401
1 0 -1 -1 0 0-1 Scien11 peterni 1305 1368
2 0 0 0 0 1-0 exonian peterni 1379 1375
1 -1 0 0 -2 0-1 hakanburakdinc peterni 1356 1368
4 0 1 -1 1 1-0 peterni EgeEren2013 1179 1072
-1 0 0 1 0 1-0 Elhosieny peterni 1472 1373
0 0 -1 2 0 1-0 peterni A-Rj 1373 1342
0 0 0 -1 0 0-1 peterni amator2000 1373 1500
2 0 0 0 0 1-0 PedroJimenezz peterni 1544 1224
1 0 0 -1 0 0-1 peterni cingskastle 1381 1331
3 0 0 0 0 1-0 peterni Thomas81 1374 1360
0 0 -1 0 0 0-1 Facu543 peterni 1338 1368
3 -1 -1 -1 0 0-1 youssefzm peterni 1303 1362
0 0 1 0 0 1-0 Aksanova_Polina peterni 1584 1365
-2 1 -1 0 1 1-0 eligon peterni 1338 1373
-4 2 -1 0 0 1-0 Majojohny1411 peterni 1500 1224
2 -2 0 1 0 0-1 peterni abdulz 1377 1548
1 0 0 -1 0 0-1 peterni einna1213 1381 1516
2 0 -1 0 0 0-1 einna1213 peterni 1526 1371
-3 0 0 0 -2 0-1 Reynaldito_7 peterni 1464 1362
0 0 0 0 0 1-0 kalel1 peterni 1223 1233
0 0 0 1 0 1-0 peterni William818 1225 1202
1 0 0 0 0 0-1 DavidSc peterni 1254 1356
0 0 1 2 0 1-0 peterni Tipejinho 1350 1318
1 1 -1 0 0 1-0 JuManuel peterni 1583 1353
-2 1 -1 0 0 0-1 N8ball19 peterni 1439 1343
1 1 -1 0 0 1-0 peterni parano_play 1334 1445
-1 0 0 -1 0 0-1 alejandroVIOLIN peterni 1431 1324
1 -1 -1 1 0 1-0 peterni Qasem2021 1317 1312
1 1 -1 0 0 1-0 alfmac peterni 1279 1325
1 -1 1 0 0 0-1 alexxx111 peterni 1512 1325
-3 -1 1 0 0 0-1 peterni psxt12 1331 1400
-1 1 1 0 0 1-0 angusdethar peterni 1504 1335
-1 2 0 0 0 1-0 elina12 peterni 1284 1343
0 0 1 0 0 1-0 wwf01 peterni 1405 1349
1 0 0 0 0 1-0 Mostafaalyan peterni 1597 1351
1 0 0 0 -1 0-1 Tj20000 peterni 1452 1342
0 -1 1 0 0 0-1 peterni chvv23 1351 1258
-1 0 0 0 -1 0-1 peterni gpras 1352 1717
0 0 0 0 -1 0-1 Antagorn peterni 1348 1345
-1 0 0 0 -1 0-1 blibo1952 peterni 1373 1337
-2 -2 0 1 -1 0-1 peterni kostas5214 1344 1323
0 0 0 0 0 0-1 peterni nomaschess 1349 1471
0 0 -1 0 0 0-1 peterni sana88 1355 1390
0 1 -1 1 0 1-0 charlesandrade peterni 1548 1359
2 0 0 1 1 1-0 peterni Baturro 1351 1358
0 0 0 0 0 1-0 Mrcelorj peterni 1179 1351
0 0 0 1 0 1-0 cabelera peterni 1486 1351
2 -1 0 0 0 0-1 peterni mecroy393939 1356 1460
0 0 0 0 -1 0-1 peterni mikestheguy 1361 1469
-1 -1 -1 0 0 0-1 mikestheguy peterni 1480 1351
0 0 0 0 0 0-1 mahyar123 peterni 1257 1215
2 1 -1 -1 0 0-1 arthkondawar peterni 1399 1343
1 0 2 0 1 1-0 peterni ibnelshaykh0sky 1336 1330
-1 0 0 0 0 0-1 peterni fhkato 1338 1601
2 1 0 0 0 1-0 Igiggs peterni 1599 1341
-1 0 0 -2 0 0-1 chajnik peterni 1266 1335
-2 0 0 0 -1 0-1 talgo peterni 1346 1327
0 1 -1 1 0 1-0 Robylant peterni 1694 1329
0 0 0 0 0 1-0 unbeknownst peterni 1745 1330
0 0 -1 1 0 1-0 eduardomiguel peterni 1731 1331
-1 -1 1 0 -1 0-1 peterni elimparablej 1334 1631
0 0 0 0 0 0-1 peterni joaorsh 1340 1370
0 0 0 0 0 1-0 Astro21 peterni 1658 1343
1 0 0 -1 0 0-1 baccent2003 peterni 1460 1343
-1 -1 1 0 0 0-1 peterni Ervanel 1343 1536
0 1 -1 0 0 1-0 Dahomey peterni 1377 1350
0 0 0 1 0 1-0 DystopianIII peterni 1634 1352
1 -1 1 -1 0 1-0 Dmano peterni 1382 1220
1 0 0 1 1 1-0 peterni Aboshaloo 1212 1227
1 0 -1 0 0 0-1 peterni Laconone 1220 1189
2 0 0 0 0 0-1 peterni Pavel631 1228 1233
0 0 0 0 0 1-0 alwayslowontime peterni 1107 1239
0 0 -1 1 0 1-0 aprohor peterni 1340 1358
2 1 -1 0 -1 0-1 StaSiToSanjala peterni 1261 1229
2 -2 0 0 0 0-1 peterni fracia60 1363 1472
1 2 -1 0 0 1-0 peterni margief 1351 1587
-2 -1 0 -1 0 0-1 l0kii1 peterni 1191 1222
-2 1 0 0 0 1-0 Oleles peterni 1244 1230
0 0 0 0 0 0-1 peterni izha 1238 1250
2 0 0 0 0 1-0 gu1729 peterni 1428 1357
-1 2 0 0 0 1-0 MGISLEB peterni 1260 1365
0 1 -1 0 0 1-0 Lapika peterni 1548 1369
3 0 0 0 0 0-1 peterni Slagelse0101 1241 1494
1 -1 0 0 0 0-1 peterni kozanski 1374 1502
0 0 0 0 -1 0-1 peterni HashtagHeel 1249 1284
1 0 0 0 0 0-1 muzahem peterni 1246 1240
1 0 1 0 0 1-0 G_I_Gurdjieff peterni 1261 1248
1 0 1 0 -1 0-1 peterni checkmatemykids 1382 1303
-3 -1 0 0 0 0-1 peterni Maky5 1387 1495
1 0 0 0 0 0-1 peterni Acadiano12 1393 1467
2 1 0 0 1 1-0 peterni jacob9 1387 1316
0 0 0 0 0 0-1 a2v peterni 1434 1378
3 1 0 0 2 1-0 peterni Jhonnabels 1371 1373
-1 0 0 -2 0 0-1 wilemar_araujo peterni 1426 1362
0 -2 1 0 0 0-1 peterni cubic_chess 1366 1546
-1 0 1 0 0 1-0 Reynaldito_7 peterni 1315 1375
0 0 -2 0 -1 0-1 Reynaldito_7 peterni 1321 1368
0 0 0 0 0 1-0 Mohamedshaaban2018 peterni 1313 1256
0 0 0 -1 -1 0-1 ucryi peterni 1276 1246
-1 0 1 -1 0 0-1 peterni justinenho 1251 1424
1 0 -1 0 0 0-1 frangabriel7 peterni 1412 1236
1 -2 1 0 0 0-1 peterni Bypass 1236 2055
-1 -1 1 -1 0 0-1 peterni alexsandr7 1236 2073
1 1 -1 1 -1 0-1 m15467804 peterni 1288 1223
0 -1 1 0 0 1-0 MunGhanGha peterni 1261 1233
2 0 -1 1 0 0-1 Magaleinchen peterni 1229 1221
-1 0 0 0 0 0-1 peterni pjntn 1232 1271
1 0 1 0 1 1-0 peterni pterodactylo 1222 1162
-1 1 0 0 0 1-0 LuisEscalante peterni 1252 1233
0 0 0 0 0 1-0 peterni Milan9990 1221 1187
1 0 -1 0 0 0-1 peterni filerii 1233 1253
0 0 1 0 0 1-0 hund69 peterni 1310 1244
-1 0 0 0 0 0-1 peterni Antartica 1259 1253
0 0 -1 0 0 0-1 peterni Brems_Dominik 1276 1210
2 0 1 -1 -1 0-1 tboiy peterni 1198 1263
-5 -2 0 0 0 0-1 SalvaDamas peterni 1246 1247
0 -1 -1 1 0 0-1 peterni matto44 1265 1245
-1 1 0 -1 0 0-1 peterni xhamari 1284 1237
-2 1 0 -1 -1 0-1 timur-1 peterni 1285 1264
-1 -1 0 0 0 0-1 peterni Dias72 1282 1304
-3 0 0 0 0 0-1 Mwewa_Kasongo peterni 1305 1259
2 0 0 0 0 1-0 SachinP peterni 1269 1281
-1 0 1 -1 0 0-1 peterni Oded17 1376 1364
1 -1 -1 0 0 0-1 peterni ozisis 1307 1244
2 0 -1 1 1 1-0 peterni Vanderson1986 1291 1161
2 1 0 0 0 1-0 Fool1979 peterni 1422 1383
0 0 0 0 0 0-1 facundogarciakdr peterni 1321 1377
0 0 0 0 0 1-0 C0aca peterni 1500 1382
0 0 0 0 0 0-1 peterni StefanBotz17 1384 1750
-1 1 0 -1 0 0-1 peterni Killersasi 1386 1784
0 0 0 2 0 0-1 peterni babapro4663 1395 1343
0 0 0 0 0 1-0 yobolatte peterni 1423 1403
-1 1 0 0 0 1-0 yku peterni 1363 1413
-1 0 0 0 0 1-0 peterni brucezinn 1404 1403
0 0 0 0 0 0-1 peterni llulull 1414 1385
3 0 0 0 0 1-0 yobolatte peterni 1403 1424
0 -2 0 0 0 0-1 peterni pourya1390 1306 1452
-3 0 -1 0 -2 0-1 B_SI_2K peterni 1216 1284
1 0 -1 1 0 1-0 peterni DanielCoelho 1257 1216
1 0 -2 0 0 0-1 abdullahalzaghal peterni 1245 1223
-1 0 0 -1 -1 0-1 KKK2364 peterni 1198 1186
0 -1 0 -1 0 0-1 peterni felismax 1223 1236
0 0 0 0 0 1-0 adfure peterni 1362 1436
0 0 1 0 0 1-0 peterni IDisableChat 1426 1426
2 0 1 -1 -1 0-1 DenVlad0711 peterni 1451 1414
-1 0 0 0 0 0-1 peterni DuduTaguatinguense 1426 1380
0 0 0 0 0 0-1 Chaduts peterni 1378 1416
-1 0 0 2 0 1-0 peterni Saxofil69 1407 1369
0 1 0 0 0 1-0 ramon666 peterni 1418 1417
1 0 0 0 -1 0-1 peterni iTz_OwNaGe 1428 1388
0 -1 1 -1 1 1-0 peterni pepioto 1419 1400
0 0 0 0 -1 0-1 LifeIs2Good peterni 1393 1409
-2 0 0 -1 -1 0-1 maxxeliscool peterni 1362 1400
1 0 0 0 0 1-0 peterni RandomlyAlpenglow 1388 1452
1 -1 -1 0 0 0-1 Sagynysh peterni 1350 1379
1 -1 1 -1 0 0-1 peterni rlaete 1388 1423
4 1 -1 1 0 1-0 peterni Emaddaood 1377 1396
0 1 -1 0 0 1-0 elkingphp-post peterni 1442 1385
1 1 -1 0 0 1-0 Fabcan peterni 1461 1393
0 0 0 0 0 0-1 peterni Williams_PhD 1407 1285
1 -1 0 0 0 1-0 peterni DiegoRoberto 1392 1554
2 0 -1 0 0 0-1 peterni uge140481 1401 1425
1 0 -1 1 0 1-0 DelvisLugoPTJ peterni 1500 1409
-3 0 0 0 0 1-0 Abedalslam peterni 1533 1415
-1 0 0 0 0 0-1 peterni reyjames 1419 1694
1 -1 1 0 0 1-0 peterni IC-AQA 1416 1130
0 1 0 0 0 1/2-1/2 riki2 peterni 1720 1408
-1 0 -1 -1 0 1/2-1/2 amado29 peterni 1470 1406
0 0 0 0 0 0-1 peterni Dindos 1415 1446
0 1 0 0 0 1-0 Mohammedrazi peterni 1485 1424
3 0 1 1 0 1-0 peterni rvchess 1418 1232
1 0 0 0 0 1-0 discordoconme peterni 1387 1429
1 0 0 -1 0 1-0 MIGUELCAD peterni 1404 1440
2 0 0 -1 1 1-0 peterni matatopo 1430 1438
0 1 -1 -1 0 0-1 matatopo peterni 1449 1419
-2 1 -1 1 0 1-0 peterni matatopo 1407 1460
1 0 0 -1 0 0-1 matatopo peterni 1473 1395
1 0 0 0 0 1-0 peterni matatopo 1382 1485
1 0 -2 0 0 0-1 matatopo peterni 1499 1368
0 0 0 0 0 1-0 William_Cruz peterni 1532 1237
-2 0 0 0 -1 0-1 mistabassa peterni 1435 1355
1 0 0 0 0 1-0 peterni mistabassa 1342 1448
0 0 1 0 0 1-0 peterni JuliaCorreia 1334 1259
1 0 -1 0 0 1-0 jus2easy peterni 1444 1341
0 1 -1 0 0 1-0 bobbmdmd peterni 1497 1347
0 0 0 0 0 1-0 EFG001 peterni 1845 1348
0 0 0 0 0 0-1 peterni fanfan76 1358 1357
1 -1 -1 1 0 0-1 peterni kamaleon2016 1362 1614
0 0 1 0 0 1-0 peterni amr37 1348 1493
4 0 1 0 0 1-0 peterni delfinaslan 1346 894
1 0 0 0 0 1-0 Grafvonmatt peterni 1667 1349
0 0 0 0 0 1-0 cyprout peterni 1334 1360
1 -1 1 -1 0 0-1 peterni Cookie74 1364 1595
0 0 0 0 2 1-0 peterni hbeyaz 1361 1030
2 0 0 0 0 1-0 fracia60 peterni 1516 1367
4 0 1 -1 0 1-0 Elienio peterni 1246 1381
3 1 0 -1 0 0-1 peterni Serg161 1391 1381
2 0 0 0 0 1-0 pinipon peterni 1474 1399
0 0 -1 0 0 0-1 peterni darius95 1404 1579
-1 0 -1 0 0 0-1 Perumanta peterni 1638 1388
0 0 0 0 0 0-1 peterni Sam455 1397 1428
0 0 0 0 0 1/2-1/2 peterni i_am_Amit 1396 1417
1 0 -1 0 1 1-0 k-ahmed201228 peterni 1389 1406
-1 0 0 0 0 1-0 Rastaman6391 peterni 1526 1413
1 0 0 0 1 1-0 Camerojesus peterni 1661 1417
1 0 -1 1 0 1-0 simonovanatoly_1951 peterni 1574 1250
-1 1 -1 -1 0 0-1 egypt7050 peterni 1238 1412
-1 0 -1 -1 0 0-1 wbrown358 peterni 1379 1402
-1 -1 0 0 0 0-1 peterni playforpleasure 1407 1616
-2 1 0 1 -1 0-1 milena2006 peterni 1444 1395
0 0 0 0 0 1-0 Mmnnoo87 peterni 1475 1403
0 0 0 0 0 1/2-1/2 Fabiano_Caruana_8 peterni 1706 1396
-2 0 0 -1 0 0-1 peterni Silky_Steve 1400 1639
0 0 0 0 0 0-1 peterni President_DonaldDuck 1402 1777
0 1 -1 0 0 1-0 Fabiano_Caruana_8 peterni 1701 1405
2 0 0 1 0 1-0 peterni Sandro123 1389 1616
1 1 0 0 1 1-0 octaviomora peterni 1487 1397
0 -1 0 0 0 0-1 peterni Rastaman6391 1403 1556
0 0 -1 0 1 1-0 k-ahmed201228 peterni 1396 1413
-1 -1 0 0 0 0-1 peterni bros4 1419 1584
4 1 -1 0 0 1-0 Vetal1983 peterni 1497 1426
3 0 0 1 0 1-0 peterni Minus_Carlsberg 1418 1359
0 0 -1 0 1 1-0 Rastaman6391 peterni 1532 1425
0 -1 -1 -1 1 1-0 peterni Sayantan31 1413 1488
-2 0 0 0 1 1-0 peterni PaddyCologne 1400 1479
-1 0 1 0 0 1-0 hernype peterni 1406 1410
0 0 0 0 0 1-0 tortueblitz peterni 1407 1420
3 0 0 0 0 1-0 Artyom_Vit peterni 1487 1429
0 0 0 0 0 0-1 peterni sixam123 1442 1319
-2 0 0 -1 0 0-1 AndersonRoberto peterni 1356 1434
1 -2 0 0 0 0-1 peterni Jonilyn1960 1444 1424
0 0 1 0 1 1-0 peterni aliochakaramazov 1435 1426
-1 0 0 0 0 0-1 maforma peterni 1538 1421
0 -1 0 0 0 0-1 peterni lincolnsp 1436 1261
0 -1 1 0 0 0-1 maithao2008 peterni 1582 1421
2 1 0 0 1 1-0 peterni AltindalHuseyin 1415 1268
-1 1 -1 0 0 0-1 Xmoppet peterni 1505 1402
0 1 0 0 0 0-1 Xmoppet peterni 1519 1388
2 0 0 0 0 1-0 laeca53 peterni 1844 1389
-2 1 -1 -1 0 0-1 peterni omerbedran 1394 1585
2 1 0 0 0 1-0 Mr7ossaM85 peterni 1640 1398
2 0 0 1 1 1-0 peterni ThiagoGurgel 1387 1408
1 0 -1 0 -1 0-1 Dubem096 peterni 1253 1381
1 0 0 0 0 1-0 mikce123 peterni 1580 1386
0 0 0 -1 0 0-1 peterni Unemployeman1 1397 1355
1 0 0 1 0 1-0 puertorico111 peterni 1547 1403
1 1 0 1 0 1-0 peterni scacchituoi 1386 1649
0 0 2 1 0 1-0 peterni pplwork123 1379 1259
2 0 -1 -1 0 0-1 gantry peterni 1220 1373
-2 1 1 1 0 1-0 antimorphy peterni 1428 1382
-1 -1 0 0 0 0-1 peterni clovsilva 1387 1559
3 1 0 0 0 1-0 sagenbach peterni 1553 1393
0 0 0 0 0 0-1 peterni Bordiga1309 1401 1489
0 2 -1 0 0 1-0 JeanR1 peterni 1455 1409
0 0 0 0 -1 0-1 atvk7 peterni 1494 1396
0 -1 1 0 0 0-1 peterni UncertainPrinciples 1401 1615
-2 -1 0 0 0 1/2-1/2 mezo-nasr peterni 1616 1395
0 1 -1 1 0 1-0 JeanR1 peterni 1489 1403
-1 0 -1 0 0 0-1 peterni pawndot 1060 1182
0 -1 0 0 1 1-0 Arisea peterni 1564 1408
3 0 0 0 0 1-0 GetDoe peterni 1388 1419
1 -1 0 -1 0 1-0 mar10de11 peterni 1427 1429
1 -1 1 0 0 1-0 peterni kk19lgh 1421 1363
0 0 0 0 0 1-0 sata77 peterni 1474 1429
-1 1 0 0 0 1-0 peterni hanshraj 1158 1484
0 0 0 0 0 0-1 peterni frankie-goes 1500 1589
0 0 -1 0 0 0-1 ratuna peterni 1502 1417
-2 0 0 0 0 0-1 peterni batteria 1423 1562
0 1 0 0 0 1-0 HAI52 peterni 1585 1429
-2 -1 0 0 1 1-0 Uhjy peterni 1365 1441
1 0 0 0 1 1-0 frankinchess peterni 1559 1448
0 -2 0 0 0 0-1 peterni Heliosheath 1451 1744
2 0 -1 0 1 1-0 peterni LeoFerri007 1434 1683
2 0 0 0 0 1-0 brantholt peterni 1825 1436
1 0 0 1 0 1-0 peterni murat5989 1419 1715
-2 1 -1 0 0 0-1 peterni Y0ur_king 1421 1825
0 0 0 0 0 0-1 Raouf1998 peterni 1716 1403
-1 0 0 -1 0 0-1 mandrak94 peterni 1466 1391
3 0 0 0 0 1-0 peterni imie 1376 1569
1 0 1 2 0 1-0 maxiargentino peterni 1445 1384
1 -1 1 -1 -1 0-1 peterni RadSob 1388 1637
2 1 1 0 1 1-0 mikky0007 peterni 1665 1391
-1 2 0 -1 1 1-0 peterni And-Ser 1381 1408
0 0 0 0 -1 0-1 AlikinSergey peterni 1428 1369
0 0 0 0 0 0-1 TrefendieTr peterni 1266 1361
1 1 0 0 -1 0-1 peterni cavatappi 1373 1305
0 0 1 0 0 1-0 peterni DerJonoBo 1368 1175
2 1 0 0 0 1-0 nayanraut peterni 1418 1377
1 0 1 0 0 1-0 talgo peterni 1435 1385
-2 -2 2 0 0 0-1 peterni lynxden 1390 1604
-1 0 0 0 -1 0-1 howtoparadox peterni 1388 1379
-1 1 0 -2 0 0-1 mihalos peterni 1392 1368
0 0 0 -1 1 1-0 peterni m072ax 1358 1381
-1 0 0 -1 0 0-1 QuickAndPainless peterni 1595 1341
0 0 0 0 0 0-1 peterni steve8206 1359 983
1 0 1 0 0 1-0 No-17 peterni 1509 1365
-1 1 0 1 -1 0-1 peterni kdt34wqx 1374 1424
-1 1 -1 0 -1 0-1 peterni taramalibicak 1381 1467
1 1 0 0 0 1-0 PaxOtium peterni 1170 1397
0 1 -1 -2 0 0-1 hinotori50 peterni 945 1395
-2 0 1 0 0 1-0 pedram_goldsun95 peterni 1538 1402
1 0 0 2 0 1-0 peterni YaMaSiDa 1389 1463
-2 0 0 0 -1 0-1 peterni karthikvc 1398 1436
1 0 0 1 0 1-0 hmkhitar peterni 1482 1406
-3 -1 -1 -1 0 0-1 dwbsv5000 peterni 1128 1402
0 0 0 0 0 0-1 peterni joueetnuit 1419 1460
4 0 0 1 0 1-0 Xmoppet peterni 1503 1419
-1 0 -1 -1 0 0-1 angelob77 peterni 1350 1410
1 0 -1 0 1 1-0 peterni Norco 1410 1214
1 -1 -2 0 0 0-1 toba_nomade peterni 1347 1402
0 0 1 0 0 0-1 peterni Dantondornelas 1416 1243
3 1 0 1 -1 0-1 solover peterni 1325 1408
2 0 -1 0 -1 0-1 Itakemytime22 peterni 1452 1397
1 -1 1 0 0 1-0 peterni Treehouse512 1390 1265
0 0 -1 0 -1 0-1 B-Barbod peterni 1261 1383
-2 0 0 1 1 1-0 Gigule peterni 1391 1393
-1 0 0 0 -1 0-1 peterni Deputat 1400 1499
5 1 0 1 0 1-0 Gallu peterni 1498 1408
2 0 -1 1 0 0-1 Qubes peterni 1436 1396
3 0 -1 1 0 0-1 n00096 peterni 1678 1396
-2 0 -1 0 0 0-1 peterni Susito33 1403 1534
0 -1 1 0 0 0-1 peterni SAttila65 1410 1490
0 0 1 0 -1 0-1 Riky02 peterni 1346 1402
2 0 0 0 0 1-0 montecristo peterni 1444 1411
0 1 0 0 1 1-0 peterni fxbudi 1398 1490
1 0 -1 0 0 0-1 Dysonise peterni 1284 1391
1 -1 -1 0 0 0-1 peterni fxbudi 1398 1498
0 1 -1 0 0 0-1 juan_trujillo peterni 1490 1385
0 1 -1 0 0 1-0 Waveform1 peterni 1220 1400
-4 0 -1 0 -1 0-1 Artur008 peterni 1162 1396
-1 0 0 0 0 0-1 peterni ugoen 1403 1498
1 -1 0 0 0 0-1 peterni n500 1412 1436
0 1 1 0 0 1-0 sergiysydorenko peterni 1411 1422
0 0 -1 0 0 0-1 peterni Gallu 1430 1504
-1 0 0 -1 -1 0-1 behroooooz peterni 1438 1421
-1 -1 0 0 -1 0-1 peterni zhjvbh10 1427 1549
1 0 0 1 0 1-0 peterni khalil864 1417 1420
-2 1 -1 2 -1 1-0 m32ex peterni 1422 1427
0 0 0 0 -1 0-1 al-thawabi peterni 1586 1412
0 0 0 0 1 1-0 peterni Brain289 1403 1382
2 -1 0 1 1 1-0 peterni bvox123 1391 1447
0 1 1 -1 0 0-1 pjsm1234 peterni 1508 1377
-3 0 1 -1 0 0-1 peterni teddyd 1287 1371
-1 0 -1 -1 1 1-0 Torfithor peterni 1449 1161
1 0 1 0 0 1-0 Prince_of_Denmark peterni 1414 1386
1 0 2 0 1 1-0 peterni vitkana 1376 1405
-1 -1 1 0 0 0-1 peterni francisko369 1384 1448
-1 1 -1 0 0 0-1 Hojjyachan peterni 1329 1375
1 0 0 0 0 1-0 peterni burlak 1367 1270
0 1 -1 0 0 1-0 max3103 peterni 1453 1375
3 -1 0 2 0 1-0 LDG910211 peterni 1368 1386
-2 0 1 -1 0 0-1 peterni nedimov81 1396 1394
1 0 1 1 0 1-0 peterni clovsilva 1380 1571
-1 2 -1 0 -1 0-1 danya290611 peterni 1373 1370
1 0 0 0 0 0-1 hadenylton peterni 1626 1353
0 -2 1 0 0 0-1 MEVLANA4361 peterni 1391 1342
-1 0 0 -1 0 0-1 Jolly_Jumpr peterni 1482 1327
0 1 -1 0 1 1-0 peterni Hans1935 1314 1420
0 1 0 2 0 1-0 r7b9 peterni 1351 1323
1 -1 1 0 -1 0-1 peterni fracia60 1329 1480
1 0 0 0 -1 0-1 granzeuf peterni 1279 1320
-2 0 -1 -1 -1 1/2-1/2 peterni artof86 1323 1244
0 0 0 0 0 1/2-1/2 bintang12 peterni 1331 1322
0 0 0 0 0 1-0 peterni Coucou0307 1317 1139
-1 1 0 0 1 1-0 peterni zenhead 1304 1390
2 1 0 0 0 1-0 voidabyss peterni 1386 1312
0 0 -1 0 0 0-1 fletchiz peterni 1405 1299
-1 -1 0 1 0 0-1 peterni khalil864 1306 1411
-2 0 1 -1 0 0-1 peterni pantherlazer 1306 1428
0 0 -1 -1 0 0-1 mohammeddaas peterni 1216 1306
-1 1 0 0 -1 0-1 maarz peterni 1213 1298
-1 0 -2 0 0 0-1 Ge-nn-a peterni 1337 1287
1 0 0 0 0 1-0 peterni Polbaa 1272 1425
3 0 0 0 0 1-0 omidnosrati peterni 1467 1277
1 0 0 0 0 1-0 DIPESH92 peterni 1344 1285
2 0 1 0 0 1-0 grovercleveland peterni 1304 1295
0 0 0 1 0 0-1 peterni Saikatjati 1305 1302
-1 2 -1 0 0 1-0 peterni mini000 1295 1284
0 0 0 1 0 1-0 peterni Troysk 1286 1245
0 0 0 -1 0 0-1 DyingCrane peterni 1282 1276
1 0 1 1 0 1-0 peterni MuriloLima 1266 1252
-1 -1 1 1 0 1-0 rtakeall peterni 1423 1272
1 -1 0 0 -1 0-1 AndrewE110 peterni 1497 1256
1 1 0 -1 0 0-1 CannonBoi peterni 1217 1246
