pawndiff knightdiff bishopdiff rookdiff queendiff result white black whiteelo blackelo
2 -1 1 0 1 1-0 peterni hardrj 1382 1361
0 0 0 0 -1 0-1 armin1389 peterni 1046 1380
0 0 0 0 0 1-0 Blackema peterni 1353 1386
1 0 1 1 1 1-0 peterni kmgd 1383 1208
2 0 -1 0 0 1-0 brunere peterni 1365 1389
1 1 -1 0 0 1-0 AdamAwf peterni 1434 1394
2 0 -1 0 1 1-0 xX69Xx peterni 1342 1401
2 0 1 2 0 1-0 peterni REELIX 1395 1383
3 0 0 1 0 1-0 Kakosik228 peterni 1417 1400
-1 1 0 -1 0 1/2-1/2 peterni JoorgeeLuuiis 1400 1401
0 0 0 0 0 1-0 new_earth peterni 1602 1403
-1 0 0 0 0 1-0 ArmiStrategy peterni 1486 1407
2 0 0 2 1 1-0 peterni mt_tanhaee 1402 1341
2 1 0 -1 -1 0-1 AndreAVA peterni 1524 1394
2 -1 0 0 0 1-0 autochtonous peterni 1451 1399
0 1 0 1 0 1-0 peterni Anonymous 1274 ?
0 -1 1 0 0 0-1 peterni boryanich081 1406 1301
-1 0 0 0 0 0-1 Santianes peterni 1426 1400
3 0 0 0 0 1-0 XavierSantos peterni 1500 1353
0 0 0 0 0 0-1 peterni StaryCygan 1403 1549
1 -1 1 0 0 0-1 peterni Firmatense 1358 1473
1 0 0 0 0 1-0 alfilc5 peterni 1591 1406
0 0 0 0 0 1-0 hamzakilaniii peterni 1649 1408
0 0 0 -1 0 0-1 Kartellksup peterni 1307 1404
0 0 -1 0 0 1-0 IamArudeplayer peterni 1448 1326
1 0 2 0 0 1-0 peterni RomanTruf 1396 1465
-1 0 0 0 0 0-1 peterni Spade7 1401 1473
-2 1 -1 0 0 1-0 JRP16JRP peterni 1388 1407
0 1 -2 -1 0 0-1 chuso69 peterni 1426 1400
-1 0 -1 0 0 0-1 peterni FabianL4 1406 1435
1 0 0 0 1 1-0 peterni Rosiu_50 1400 1351
1 0 0 0 0 1-0 peterni sashayed 1394 1395
1 0 -1 0 -1 0-1 Sten73 peterni 1376 1388
-1 0 0 -1 0 0-1 berkcant peterni 1342 1383
-1 0 0 1 0 1-0 peterni Leandrowski 1378 1329
-1 0 -1 0 0 0-1 peterni mauriceph 1383 1325
-2 1 -1 1 -1 0-1 Gepard_27 peterni 1360 1377
0 0 0 -1 0 0-1 peterni Salvo2020 1382 1337
0 0 0 0 0 1-0 Etche peterni 1404 1387
0 1 0 0 0 1-0 ismetgench peterni 1404 1392
3 0 0 1 0 1-0 peterni brigrigo 1386 1396
0 0 0 0 0 1-0 yad00143 peterni 1455 1391
1 0 2 0 0 1-0 peterni SemperFi1-5 1387 1258
3 0 0 1 0 1-0 peterni samim_qayssar 1381 1348
2 0 0 0 0 1-0 antodeb peterni 1526 1385
-1 1 0 0 0 1-0 Xmoppet peterni 1489 1389
-1 0 1 -2 -1 0-1 Hybrid_03 peterni 1330 1384
0 1 0 0 0 0-1 mikolajsukiennik peterni 1439 1376
0 -1 0 0 0 0-1 peterni MatheusM0610 1380 1492
-4 0 0 0 -1 0-1 kotynaplot peterni 1304 1376
0 -2 1 0 0 0-1 Peterman_lv peterni 1332 1370
-1 -1 0 -1 0 0-1 peterni Wieiner 1375 1392
-3 1 0 0 -1 0-1 peterni unebiano 1381 1362
0 0 1 0 -1 0-1 peterni morvar_m 1386 1467
0 0 -1 0 0 0-1 peterni Rafaafar 1391 1364
0 0 0 0 0 0-1 Jaga1910 peterni 1318 1386
1 -1 1 0 0 0-1 peterni gogori 1392 1362
1 0 -1 1 0 1-0 peterni usmant 1386 1399
3 0 0 1 -1 1-0 Blund3rLov3r peterni 1535 1389
1 -1 0 -1 0 0-1 Ezkarabj0 peterni 1301 1384
-1 0 0 -2 0 0-1 peterni gumiak 1391 1335
0 1 0 0 -1 0-1 a-kalinin2005 peterni 1571 1382
2 0 1 0 0 1-0 brutusovitch peterni 1421 1364
0 0 -1 0 0 0-1 hummer10211 peterni 1523 1373
3 -1 -1 0 -1 0-1 ArtemKa82 peterni 1378 1367
0 -1 1 0 0 1-0 peterni Alonzo1234 1361 1358
-1 0 -1 -1 0 0-1 peterni trem_bala 1366 1380
2 -1 1 0 0 1-0 LukkaD peterni 1378 1372
2 -1 -2 1 0 0-1 Aorux peterni 1350 1366
0 0 0 0 0 1-0 brysch88 peterni 1386 1371
1 0 0 1 0 0-1 peterni Sapienintellect 1381 1119
3 0 2 1 0 1-0 peterni thelechon 1374 1437
-1 1 0 0 0 1-0 Nickholmes peterni 1293 1381
0 0 0 0 0 0-1 peterni plaxica 1383 1592
0 -1 0 0 0 0-1 peterni abracadabra1980 1388 1459
-1 1 0 0 0 1-0 zoid-cz peterni 1445 1393
1 1 -1 0 0 0-1 peterni ellute1 1398 1415
1 1 0 0 0 1-0 Adriano1988 peterni 1401 1404
0 0 0 0 1 1-0 peterni BrothermanSkills 1397 1411
-1 1 -1 -1 1 1-0 mertksa peterni 1445 1402
4 0 0 1 1 1-0 peterni lysandesickan 1396 1385
-2 0 0 0 0 0-1 peterni PiotrFC 1401 1442
1 -1 1 -1 -1 0-1 raiashish641 peterni 1393 1395
0 0 0 0 0 1-0 nasir007 peterni 1436 1401
-2 0 0 0 0 1/2-1/2 peterni sanjica 1360 1552
1 1 0 -1 0 1-0 tOpEaDe peterni 1304 1408
0 0 0 0 0 1-0 plamen577 peterni 1490 1345
-1 0 1 0 0 1-0 mario_3030 peterni 1328 1414
1 -1 -1 0 0 0-1 Roman125 peterni 1412 1408
1 -1 1 0 0 0-1 peterni Uddomt 1415 1354
1 -1 0 0 0 0-1 peterni A36Wu 1420 1449
0 0 0 0 0 1-0 gaurav4b peterni 1522 1424
-1 -1 1 0 0 0-1 peterni yamat124 1430 1418
-1 1 0 0 0 1-0 bihnatiuk peterni 1449 1435
1 -1 0 0 0 0-1 peterni EhnkeJr 1441 1441
0 -1 1 2 0 1-0 peterni luka1992 1436 1397
1 1 0 0 0 0-1 Baldwin14 peterni 1459 1429
-1 0 0 -1 0 0-1 moha_40 peterni 1376 1424
-4 0 0 -1 -1 0-1 mjyanez peterni 1415 1418
-1 -1 1 0 0 0-1 peterni MehMeMeh 1423 1417
-2 -1 0 -1 0 0-1 Nikhih01 peterni 1436 1417
2 0 1 0 -1 1-0 peterni amitc 1412 1355
-1 0 0 0 1 1-0 peterni IuryKe 1406 1382
2 -1 1 -1 0 0-1 Dreee89 peterni 1318 1401
2 1 0 -1 1 1-0 jcthes peterni 1425 1407
-2 0 0 0 0 0-1 peterni pauliewalnut 1413 1380
-3 0 0 0 0 0-1 thecharacter peterni 1445 1406
0 -1 1 0 0 0-1 peterni thecharacter 1411 1439
2 0 0 0 0 1-0 maanrobe peterni 1397 1418
-1 0 0 0 0 0-1 peterni Lennon1999 1424 1410
0 0 0 -1 0 0-1 peterni Youcef03 1432 1314
0 0 1 0 0 1-0 peterni Mldvasegh_iran 1425 1425
-2 -1 0 -1 0 0-1 Mldvasegh_iran peterni 1431 1418
2 1 0 1 0 1-0 peterni ArturShevcenko1 1411 1506
0 1 0 0 0 1-0 LeeCHess123 peterni 1415 1417
-1 0 -1 0 0 0-1 Ugurcan1721 peterni 1394 1410
0 0 0 -1 0 1-0 peterni sasha32rus 1403 1411
-1 0 -1 0 -1 0-1 Mat358 peterni 1312 1398
0 0 -1 0 0 1-0 TrojanHorse211 peterni 1393 1405
0 0 0 0 0 1/2-1/2 peterni Hussainy 1404 1436
-2 0 1 0 0 1-0 Erudite001 peterni 1600 1363
0 1 -1 0 2 1-0 peterni Anonymous 1447 ?
0 0 0 1 -1 1-0 peterni systemfails 1397 1397
-2 -1 0 0 -1 1-0 vgoel peterni 1371 1404
1 0 0 0 0 1-0 fritz88 peterni 1327 1371
0 0 0 0 -1 0-1 peterni spaxxts 1408 1570
1 1 -1 0 0 1-0 Juanmed peterni 1507 1376
0 0 1 0 0 1/2-1/2 peterni kalak_2 1407 1453
-2 0 1 1 0 1-0 peterni tohoacr113 1398 1450
1 0 0 0 -1 0-1 Inconsientemente peterni 1408 1368
1 1 0 0 0 1-0 surgery16 peterni 1572 1402
1 0 0 0 1 1-0 peterni surgery16 1392 1581
-1 -1 1 0 1 1-0 MC54 peterni 1672 1394
1 -1 0 0 0 0-1 peterni RC1973 1397 1554
0 0 -1 -2 -1 0-1 wanted_66 peterni 1045 1367
0 1 -1 0 0 1-0 andyboy peterni 1494 1371
1 -1 1 0 0 0-1 peterni daht 1407 1034
0 -1 1 0 0 0-1 azincourt peterni 1362 1402
0 0 -1 1 0 1-0 illusion007 peterni 1535 1406
-1 0 0 -1 0 0-1 peterni boyblunder 1410 1485
0 0 0 0 0 0-1 peterni kassim-aljolan 1416 1419
-1 0 1 0 1 1-0 Nidhal1970 peterni 1423 1375
0 0 0 -1 0 0-1 oinortep peterni 1335 1370
-2 -1 1 -1 0 0-1 peterni lircheesee 1420 1529
0 0 0 0 -1 0-1 Classical960 peterni 1314 1365
0 0 0 0 0 0-1 oinortep peterni 1340 1360
-1 0 1 -1 0 0-1 hst111 peterni 1361 1415
1 0 0 0 0 1-0 peterni vjmdd 1409 1402
-1 0 0 0 0 1-0 NoiseManiac peterni 1434 1365
1 0 -1 0 0 0-1 peterni Cvarkov_Djordje54 1413 1474
0 0 0 0 0 1-0 Kourdakov peterni 1358 1371
0 1 -1 0 0 1-0 Filipep1000 peterni 1328 1377
-1 0 1 0 0 0-1 peterni joacodulanto 1382 1422
2 0 -2 0 0 1-0 Chessloin peterni 1416 1419
2 0 -1 0 0 0-1 peterni nigelBL 1424 1448
-2 1 0 -1 0 1-0 ArmandoMarcos peterni 1345 1431
0 -2 0 1 0 0-1 peterni ranger68 1437 1436
0 2 -1 0 0 1-0 smorris peterni 1437 1387
-2 -1 0 0 0 0-1 peterni Cortez_123 1392 1441
2 0 0 -1 -1 0-1 demianlbBakon peterni 1418 1386
3 0 1 0 0 1-0 peterni lifasa 1380 1366
0 0 0 0 0 1-0 Vova_92 peterni 1310 1445
0 0 0 -1 0 0-1 peterni Santianes 1451 1402
-2 0 0 -2 0 0-1 badlucktoday peterni 1255 1376
-2 0 0 0 -1 0-1 lvbnhbq311 peterni 1537 1444
1 0 0 0 0 0-1 peterni budai 1382 1375
0 0 -1 0 1 1-0 Marianmaae peterni 1395 1450
1 0 1 1 0 1-0 peterni Marianmaae 1445 1400
2 0 2 1 1 1-0 peterni lvbnhbq311 1437 1550
-2 0 0 0 -1 0-1 karik2984 peterni 1470 1374
1 0 0 0 0 1-0 benigno666 peterni 1512 1441
-2 0 0 0 -2 0-1 alex2fox peterni 1347 1437
0 1 0 0 0 1-0 sheytandereli peterni 1387 1443
0 0 -1 -1 0 0-1 rahi20 peterni 1405 1368
1 0 0 1 -1 0-1 peterni Afor1zm 1373 1369
-1 1 0 -1 0 0-1 sacthechorch peterni 1395 1438
3 2 -1 0 1 1-0 peterni mkwaldner 1367 1368
1 0 0 0 0 1-0 stepalat peterni 1387 1373
3 0 0 0 0 0-1 peterni ghepardo 1377 1447
0 0 0 0 0 1-0 sareeeh peterni 1505 1443
0 0 0 0 0 1-0 yasamanosana peterni 1231 1452
1 0 1 0 -2 0-1 SockdolagerPrimeII peterni 1406 1371
